name,country,years,n_participations,medals,birth_year,birth_place,school_at_time,later_career,source
Aleksander Vilenkin,USS,1964,1,B,,,not found,"Cannot confirm link to physicist/cosmologist Alexander Vladimirovich Vilenkin (born May 13, 1949, Kharkiv, Tufts University, cosmic strings/quantum cosmology theorist). His documented birth year (1949) would make him only 15 in 1964, and no source connects him to an IMO or any mathematical olympiad — his known biography centers on Kharkiv University physics studies from the late 1960s. Treating this as a distinct, unconfirmed person",[low] https://en.wikipedia.org/wiki/Alexander_Vilenkin
Boris Ivlev,USS,1964,1,B,"June 20, 1946","Grodno, Grodno Oblast, BSSR","Physics-Math School No. 18, Moscow (first class, 1963-1964)","Boris Mikhailovich Ivlev, Soviet mathematician/pedagogue; studied at MSU mech-math under V.I. Arnold; taught at School No. 18 until 1990; author/co-author (with Kolmogorov, Abramov, Shvartsburd) of the widely-used Soviet/Russian textbook ""Алгебра и начала анализа"" for grades 10-11; wrote for ""Квант"" magazine; died 1990 in Chernogolovka","[high] https://ru.wikipedia.org/wiki/Ивлев,_Борис_Михайлович"
David Bernstein,USS,1964,1,G,,,not found,"not found (distinct from Joseph/Iosif Bernstein, gold medalist of IMO 1962, who is a different, well-documented person; no record found of a separate ""David Bernstein"" mathematician)",[none] https://www.imo-official.org/participant_r.aspx?id=9906 ; https://en.wikipedia.org/wiki/Joseph_Bernstein
Genadiy Arhipov,USS,1964,1,G,"December 12, 1945","Yelets, Lipetsk Oblast, RSFSR (considered Orel his hometown)","School No. 24 in Orel (1953-1963), then Specialized Boarding School No. 18 (Moscow, first class 1963-1964)","Prominent number theorist; PhD 1975 and doctorate 1984 at Steklov Mathematical Institute under A. Karatsuba/I. Vinogradov's tradition; solved problems on multiple trigonometric sums and the Hilbert-Kamke problem; 1992 Markov Prize of Russian Academy of Sciences; professor at MSU, co-author of widely used ""Лекции по математическому анализу"" textbook; died 2013",[high] https://cyberleninka.ru/article/n/spetsializirovannaya-shkola-internat-18-fizikomatematicheskogo-profilya-vypusk-pervyy-1963-1964-g-na-puti-k-matematike-arhipov-gennadiy
Iliya Rips,USS,1964,1,(no award),"December 12, 1948","Riga, Latvian SSR",Riga School No. 23 (now Lomonosov Gymnasium),"Confirmed as Ilya (Eliyahu) Aronovich Rips: first Latvian schoolboy to compete in IMO; entered Latvian State University at 15-16 without exams; became a leading figure in geometric group theory (R-trees, ""Rips machine""); 1969 self-immolation protest against the Soviet invasion of Czechoslovakia, imprisoned, later emigrated to Israel (1972); professor at Hebrew University of Jerusalem; later controversial for the ""Bible Code"" (Statistical Science, 1994); died July 19, 2024, in Jerusalem","[high] https://ru.wikipedia.org/wiki/Рипс,_Илья_Аронович"
Valeriy Alekseev,USS,1964,1,S,,,"Physics-Math boarding school No. 18, Moscow (first class, graduated 1964)","Valeriy Borisovich Alekseev, mathematician specializing in mathematical cybernetics/discrete function theory; PhD 1972 MSU; long-time professor and department head at MSU's Faculty of Computational Mathematics and Cybernetics (VMK); Lomonosov Prize for teaching (2004); Honored Professor of Moscow University (2007)","[high] https://ru.wikipedia.org/wiki/Алексеев,_Валерий_Борисович ; http://www.vipschool.ru/oneperson.php?personnumber=334"
Yuri Matiashevich,USS,1964,1,G,"March 2, 1947","Leningrad, USSR","Leningrad School No. 255, then Physics-Math School No. 239 (Leningrad, 1962-1963), then Moscow boarding school No. 18 (1963-1964)","Confirmed as Yuri Vladimirovich Matiyasevich, the famous mathematician who in 1970 completed the negative solution of Hilbert's 10th Problem; academician of the Russian Academy of Sciences (2008); works at St. Petersburg Steklov Institute (POMI); president of St. Petersburg Mathematical Society","[high] https://ru.wikipedia.org/wiki/Матиясевич,_Юрий_Владимирович"
Aleksander Karzanov,USS,1965,1,S,"March 23, 1947",Moscow,not found,Mathematician specializing in combinatorial optimization and graph theory; co-inventor of preflow-based max-flow algorithms and co-author of the Hopcroft-Karp-Karzanov bipartite matching algorithm; long-time researcher at the Institute of System Analysis RAS (1977-2018) and CEMI RAS; invited speaker at ICM 1990.,[high] https://prabook.com/web/alexander_viktorovich.karzanov/456911 ; http://www.cemi.rssi.ru/about/persons/index.php?SECTION_ID=6&ELEMENT_ID=12309
Anatoliy Pereseckiy,USS,1965,1,G,1948,not found,"Physics-math boarding school No. 18 named after A.N. Kolmogorov at MSU, Moscow (graduated 1966)","Economist/econometrician; graduated MSU Mech-Math (1971), Cand. Sci. (1977), Doctor of Sciences in Economics (2010); professor at HSE University, New Economic School (NES), and CEMI RAS; works in mathematical economics, econometrics, finance.",[high] https://www.hse.ru/org/persons/42727/ ; http://www.cemi-ras.ru/about/persons/index.php?SECTION_ID=6&ELEMENT_ID=204 ; http://www.vipschool.ru/oneperson.php?personnumber=419
Andrei Zubkov,USS,1965,1,G,"December 30, 1946 (d. August 6, 2025)",Moscow,"School No. 444, Moscow (graduated 1965)","Probabilist/statistician; headed Dept. of Mathematical Statistics and Random Processes at MSU Mech-Math faculty (2005-2025); headed Discrete Mathematics Dept. at Steklov Institute (MIAN) from 1994; worked on branching processes, limit theorems, combinatorial probability, cryptography.","[high] https://ru.wikipedia.org/wiki/Зубков,_Андрей_Михайлович"
Nicolai Shirokov,USS,1965,1,G,not found (circumstantial evidence points to ~1948),not found,not found,"Mathematician, Doctor of Sciences (1985, Steklov Institute St. Petersburg branch), specialist in complex/harmonic analysis and approximation theory; professor and long-time head of the Mathematical Analysis Dept. at St. Petersburg State University; also professor at HSE St. Petersburg since 2013.",[medium] https://www.hse.ru/org/persons/95632315/ ; https://pureportal.spbu.ru/ru/persons/николай-алексеевич-широков
Pavel Bleher,USS,1965,1,G,1947,not found,not found,"Mathematical physicist; PhD under Ya. Sinai (Keldysh Institute, 1974); professor (now Chancellor's Professor Emeritus) at Indiana University Indianapolis (IUPUI); works on random matrix theory, orthogonal polynomials, Ising model, statistical mechanics.",[high] https://science.indianapolis.iu.edu/people-directory/people/bleher-pavel.html ; https://alliance.iu.edu/members/member/1856.html ; https://www.imo-official.org/participant_r.aspx?id=9949
Sergei Valander,USS,1965,1,G,not found,not found,not found,"not found (a ""С.С. Валандер"" published a 1973 probability-theory paper in ""Теория вероятностей и её применение"" — possibly the same person, but not confirmed)",[low] https://www.imo-official.org/results/individual/country/USS/
Vasiliy Stoianovski,USS,1965,1,S,not found,not found,not found,not found,[none] https://www.imo-official.org/results/individual/country/USS/
Yuri Muraviev,USS,1965,1,(no award),not found,not found,not found,not found,[none] https://www.imo-official.org/results/individual/country/USS/
Aleksander Zaimskih,USS,1966,1,B,not found,not found,not found,not found,[none] https://www.imo-official.org/results/individual/country/USS/
Andrei Marchenko,USS,1966,1,G,not found,not found,not found,not found,[none] https://www.imo-official.org/results/individual/country/USS/
Boris Matikainen,USS,1966,1,S,not found,not found,not found,not found,[none] https://www.imo-official.org/results/individual/country/USS/
Grigoriy Rosenblum,USS,1966,1,G,"not found (Facebook profile lists St. Petersburg University Class of 1972, implying birth ~1949)",not found,not found,"Mathematician (Grigori Rozenblum), specialist in spectral theory of differential/pseudodifferential operators, magnetic Schrödinger operators, and Toeplitz operators; long career at St. Petersburg institutions and the Euler International Mathematical Institute; later Professor at Chalmers University of Technology and University of Gothenburg, Sweden (now Professor Emeritus).",[medium] https://www.mathnet.ru/eng/person23499 ; https://www.chalmers.se/en/persons/grigori/ ; https://www.mathgenealogy.org/id.php?id=171604
Mihail Fokin,USS,1966,1,G,not found,not found,not found,"Likely Mikhail Valentinovich Fokin, mathematician, Doctor of Sciences, Dean of the Mechanics-Mathematics Faculty of Novosibirsk State University (since 2011) and deputy director of the Sobolev Institute of Mathematics SB RAS; per one alumnus's memoir he taught mathematics at Novosibirsk's specialized physics-math school (FMSh/SUNC NSU) as a graduate student. Name/generation/location fit but identity as the 1966 IMO medalist is not fully confirmed.",[medium] http://mmf-old.nsu.ru/person/fokin ; https://ведомостизаксобрания.рф/2023042001
Sabir Husein-Zade,USS,1966,1,G,"July 29, 1950",Moscow,not found,"Mathematician specializing in singularity theory; PhD 1975 under S. Novikov and V. Arnold; co-author with Arnold and Varchenko of ""Singularities of Differentiable Maps""; professor at Moscow State University (Mech-Math) and the Independent University of Moscow; co-editor-in-chief of the Moscow Mathematical Journal.",[high] https://en.wikipedia.org/wiki/Sabir_Gusein-Zade ; https://www.mathgenealogy.org/id.php?id=55263
Sergei Liber,USS,1966,1,(no award),not found,"possibly Saratov (per a Saratov olympiad history compilation, a Sergei Liber is listed among Saratov schoolchildren who took part in the 8th IMO in Bulgaria)",not found,not found,[low] Саратовские математические олимпиады 1950-51 -- 1994-95 (dokumen.pub search snippet)
Yuri Bogdanski,USS,1966,1,G,"June 10, 1949 (d. November 21, 2021)",Kyiv,not found,"Ukrainian mathematician specializing in functional analysis; graduated Moscow University (1971); Doctor of Sciences (1996), professor (1998) at Kyiv Polytechnic Institute (NTUU ""KPI""), Institute for Applied System Analysis, Dept. of Mathematical Methods of System Analysis.",[high] https://esu.com.ua/article-35830 ; http://mmsa.kpi.ua/history/lecturers/yuriy-v-bohdanskyy
Aleksander Livshic,USS,1967,1,G,not found,not found,not found,not found,[none] https://www.imo-official.org/results/individual/country/USS/ (no matching biography despite spelling variants Livshits/Lifshitz/Livshic)
Andrei Suslin,USS,1967,1,G,27 December 1950,"Leningrad, USSR",not found,"Became one of the most prominent Soviet/American algebraists: proved Serre's conjecture (Quillen-Suslin theorem, 1976), the Merkurjev-Suslin theorem (1982), collaborated with Voevodsky on motivic cohomology; professor at Northwestern University from 1994; 2000 Cole Prize in Algebra (AMS); died 10 July 2018 in St. Petersburg.","[high] https://ru.wikipedia.org/wiki/Суслин,_Андрей_Александрович ; https://indicator.ru/mathematics/umer-matematik-andrej-suslin-10-07-2018.htm"
Igor Krichever,USS,1967,1,S,8 October 1950,"Kuybyshev (now Samara), USSR (raised in Taganrog from age ~7)",Kolmogorov physics-math boarding school in Moscow (per own account),"Graduated MSU mekhmat 1972; became a leading mathematical physicist -- Krichever construction/genus, Krichever-Novikov equation and algebras, Baker-Akhiezer functions, integrable systems theory; professor and dean (2008-2011) of mathematics at Columbia University, also Skoltech/HSE/Landau Institute; died 1 December 2022.","[high] https://ru.wikipedia.org/wiki/Кричевер,_Игорь_Моисеевич"
Mikhail Boshernican,USS,1967,1,S,1950,"Chernovtsy (Chernivtsi), Ukrainian SSR","Kolmogorov boarding school in Moscow (internat No. 18, later SUNC MSU), entered at age 15","Emigrated to Israel early 1970s, then US; became Michael Boshernitzan, professor of mathematics at Rice University (Houston) 1982-2019, specialist in ergodic theory/interval exchange transformations (""Boshernitzan condition""), longtime coach of Rice's Putnam team; died 28 August 2019.",[high] https://news2.rice.edu/2019/09/03/rice-mourns-mathematics-professor-michael-boshernitzan/ ; https://www.dignitymemorial.com/obituaries/bellaire-tx/michael-boshernitzan-8838149
Sergei Sobolev,USS,"1967, 1968",2,"B, G",not found,not found,not found,not found -- explicitly not the famous elder mathematician Sergei L. Sobolev (b. 1908); no distinct younger namesake could be verified,"[none] https://www.imo-official.org/results/individual/country/USS/ (confirms same person scored 27 to 40, bronze then gold, but no biography located)"
Viktor Turchaninov,USS,1967,1,G,not found,not found,not found,not found,[none] https://www.imo-official.org/results/individual/country/USS/
Vyacheslav Kharlamov,USS,1967,1,B,28 January 1950,"Leningrad, USSR",not found (later taught at school-internat No. 45 in Leningrad from 1968),"Studied at Leningrad State University 1967-1972 under V. A. Rokhlin; became a leading real algebraic geometry researcher (partial solution of Hilbert's 16th problem), professor at Sorbonne/University of Strasbourg since 1991, co-author of textbook ""Elementary Topology"".","[high] https://ru.wikipedia.org/wiki/Харламов,_Вячеслав_Михайлович"
Yuri Zharinov,USS,1967,1,S,not found,not found,not found,not found,[none] https://www.imo-official.org/results/individual/country/USS/
Genadiy Beli,USS,1968,1,B,2 February 1951,"Magnitogorsk, Chelyabinsk Oblast, RSFSR, USSR",physics-math boarding school in Kyiv (graduated 1968),"Plausibly Gennady Vladimirovich Belyi, celebrated for Belyi's theorem (1979), foundational to Grothendieck's dessins d'enfants theory; PhD 1978 Steklov Institute under Igor Shafarevich; docent at Vladimir State University; invited speaker ICM Berkeley 1986; died 29 January 2001. Match based on plausible transliteration (Beli = Белый) and timeline, not explicitly confirmed.","[medium] https://ru.wikipedia.org/wiki/Белый,_Геннадий_Владимирович"
Mikhail Blyudze,USS,1968,1,G,not found,not found,not found,"possibly Mikhail Yuryevich Blyudze, listed as a 1974 graduate of the Mathematical Analysis Department of Leningrad/St. Petersburg State University -- unconfirmed match",[low] https://analysis.spbu.ru/history/vypuskniki.pdf
Pavel Kurchanov,USS,1968,1,G,2 September 1951,not found,not found,"Graduated MSU mekhmat 1973, PhD 1977, docent 1981; taught mathematics at Moscow Institute of Railway Engineers (MIIT) 1976-1991; moved into finance/banking in the 1990s (RINAKO Depository, ONEXIM Bank, Interros, NIKoil); later headed foreign investment department of Russian Railways (RZhD) 2006-2014.",[medium] https://wiki.letopis.ru/index.php?title=Курчанов_Павел_Фёдорович
Valeriy Fedotov,USS,1968,1,G,not found,not found,not found,not found,[none] https://www.imo-official.org/results/individual/country/USS/
Viktor Kumarin,USS,1968,1,S,not found,not found,not found,not found,[none] https://www.imo-official.org/results/individual/country/USS/
Vladimir Makarichev,USS,1968,1,B,not found,not found,not found,not found,[none] https://www.imo-official.org/results/individual/country/USS/
Vladimir Ponomarenko,USS,1968,1,G,not found,not found,not found,not found,[none] https://www.imo-official.org/results/individual/country/USS/
Andrei Hodulev,USS,"1969, 1970",2,"S, G",7 Oct 1953,"Kalinin (now Tver), USSR","Физико-математическая школа-интернат при МГУ им. А.Н. Колмогорова (Kolmogorov boarding school, entered 1968)","Graduated MSU mech-math 1975 with honors, PhD 1984; researcher at Keldysh Institute of Applied Mathematics; pioneer of physically-accurate computer graphics/Monte Carlo ray tracing in the USSR (deceased per memorial page)",[high] https://keldysh.ru/memory/khodulev/first_steps.htm
Andrei Prasolov,USS,1969,1,S,11 Aug 1952,"Sarapul, Udmurtia, Russian SFSR",not found,"Mathematician (K-theory, homological algebra, topology); PhD MSU 1978; since early 1990s professor at UiT The Arctic University of Norway, Tromso",[medium] https://prabook.com/web/andrei_vasilievich.prasolov/3488365 ; https://en.uit.no/ansatte/andrei.prasolov
Andrei Zelevinski,USS,1969,1,S,30 Jan 1953,"Moscow, USSR",Moscow Mathematical School No. 2,"Major mathematician (representation theory, combinatorics -- Bernstein-Zelevinsky classification, cluster algebras with S. Fomin); professor at Northeastern University (Boston) 1991 until death in 2013; AMS Fellow, Steele Prize (posthumous, 2018)",[high] https://en.wikipedia.org/wiki/Andrei_Zelevinsky
Arkadiy Klimov,USS,"1969, 1970",2,"B, G",not found,not found,not found,"Likely computer scientist Аркадий Владимирович Климов, senior researcher at IPPM RAS, one of the principal developers of the Refal compiler (with V. Turchin and S. Romanenko, work begun 1969, completed 1975) and later author of Refal-6/Refal-6-Java dialects",[low-medium] https://pat.keldysh.ru/~roman/refal/rfc-history/
Elena Neklyudova,USS,1969,1,B,not found,not found,not found,not found,[none] no reliable matching source found
Pavel Suvorov,USS,1969,1,(no award),not found,not found,not found,not found,[none] no matching source found
Valeriy Soloviev,USS,1969,1,B,not found,not found,not found,not found,[none] no reliable matching source found
Vladimir Drinfeld,USS,1969,1,G,14 Feb 1954 (some sources say 4 Feb 1954),"Kharkiv, USSR",not found,"Fields Medalist (1990), Wolf Prize (2018), Shaw Prize (2023); professor at University of Chicago; founder of theory of quantum groups, geometric Langlands program","[high] https://ru.wikipedia.org/wiki/Дринфельд,_Владимир_Гершонович"
Aleksander Korlyukov,USS,1970,1,B,not found,not found,not found,not found,[none] no matching source found (a modern chemist of the same surname exists but timeline/field do not match)
Aleksei Aleksandrov,USS,"1970, 1971",2,"S, S",not found,not found,not found,not found,[none] common surname; no matching mathematician biography found
Sergei Semenkov,USS,1970,1,B,not found,not found,not found,not found,[none] no matching source found
Velo Altlies,USS,1970,1,B,not found,not found,not found,not found,"[none] name may be a mistransliteration in IMO records, could not verify"
Aleksander Chistov,USS,1971,1,B,,,not found,"Possibly Alexander Leonidovich Chistov, computational algebraist at St. Petersburg Dept. of Steklov Mathematical Institute (POMI RAS); algorithms for polynomial equation systems/algebraic varieties; publication record 1976-2025",[medium] https://www.mathnet.ru/rus/person33642
Dimitriy Logachev,USS,1971,1,S,,,not found,"Possibly Dmitry Yuryevich Logachev, algebraic geometer/number theorist, IITP RAS, later Universidad Simon Bolivar (Venezuela) and Universidade Federal do Amazonas (Brazil); works on L-functions of Carlitz/Drinfeld modules -- identity as 1971 contestant not independently confirmed",[low] https://www.mathnet.ru/rus/person20947
Evgeniy Salinen,USS,1971,1,B,,,not found,not found,[none] no matching person found under this name or plausible variants
Mikhail Cfasman,USS,1971,1,S,23 July 1954,"Moscow, USSR","Moscow Mathematical School No. 2, graduated 1971","Michael (Moisei) Tsfasman -- major algebraic geometer/coding theorist; PhD 1983 (Leningrad Steklov, advisor Yu. Manin), Doctor of Sciences 1991 (IPPI RAS); CNRS director of research (France); pro-rector/professor at the Independent University of Moscow; known for algebraic-geometric codes improving asymptotic bounds","[high] https://www.sch2.ru/alumnus/2969-mikhail-tsfasman ; https://ru.ruwiki.ru/wiki/Цфасман,_Михаил_Анатольевич"
Oleg Lyashko,USS,1971,1,S,,,Possibly SUNC MSU math department,Listed once as Oleg Viktorovich Lyashko among SUNC MSU math faculty; no further verifiable biography found; distinct from Ukrainian politician Oleg Lyashko (b.1972) and Kazan mathematician Anatoly Lyashko (b.1930),[low] http://internat.msu.ru/structure/chairs/math/staff-math/
Sergei Gashkhov,USS,1971,1,G,25 Sept 1954,"Volkhov, Leningrad Oblast, USSR","Boarding school (интернат) at MSU 1969-1971, predecessor of SUNC MSU","Professor of discrete mathematics at MSU (mekhmat), works on Boolean circuit complexity/cryptography, has taught at SUNC MSU since 1973, author of ~20 books and many popular-science texts",[high] https://www.mgu-club.ru/person.php?i=81221 ; https://istina.msu.ru/profile/gashkov/
Vasiliy Erokhin,USS,1971,1,S,,,not found,not found,[none] no reliable match found
Aleksander Merkuryev,USS,1972,1,S,25 Sept 1955,"Leningrad, USSR",not found (graduated Leningrad State University 1977),"Alexander Merkurjev -- world-renowned algebraist; proved Merkurjev-Suslin theorem; professor at UCLA since 1997; AMS Cole Prize in Algebra (2012), Guggenheim Fellowship, Humboldt Prize",[high] https://en.wikipedia.org/wiki/Alexander_Merkurjev
Aleksander Shapovalov,USS,1972,1,B,1955,"rural village school, Kazakh SSR",moved via Correspondence Mathematical School to physics-math boarding school No. 18 at MSU (future SUNC MSU) in 1971,"Alexander Shapovalov -- renowned Russian olympiad-problem composer and math-circle organizer; PhD mekhmat MSU; author of many olympiad books; composes problems for Tournament of Towns, Sharygin Olympiad, Russian Olympiad, Savin Tournament; based in Sweden",[high] http://geometry.ru/persons/shapovalov.php
Andrei Golberg,USS,1972,1,S,,,not found,not found,[none] no matching person found (not the later IMO 2002 medalist Oleg Golberg)
Sergei Belkin,USS,1972,1,S,,,not found,not found,[none] no matching person found
Sergei Konyagin,USS,"1972, 1973",2,"G, G",,,,,
Vladimir Burkov,USS,1972,1,G,,,not found,not found,[none] (a control-theory scientist of same name born 1939 was ruled out as too old)
Vladimir Shvarc,USS,1972,1,S,,,not found,not found,[none] no matching person found
Yuri Kolmakov,USS,1972,1,B,,,not found,not found,[none] no matching person found
Dmitriy Leshiner,USS,1973,1,S,,,,"Possible match: Dmitry Leshchiner, affiliated with MIPT and later microwave holographic imaging research, but identity with IMO medalist unconfirmed",[low] https://www.researchgate.net/profile/Dmitry-Leshchiner-2
Evgeny Khukhro,USS,1973,1,B,c. 1956 (inferred from a 60th-anniversary conference held in 2016),not found,not found,"Evgeny Khukhro -- leading group theorist (finite p-groups, Lie rings, Burnside/Hughes/Hartley problems); PhD 1980, DSc 1988 via Novosibirsk University/Sobolev Institute; since 2014 professor at University of Lincoln UK; leading researcher at Sobolev Institute of Mathematics, Novosibirsk; co-editor of the Kourovka Notebook","[high (career), low (birth date)] https://www.mathnet.ru/eng/person18789 ; https://math.nsc.ru/pns/eih"
Georgiy Egorov,USS,1973,1,G,,,,not found; distinct from the Soviet admiral of the same name,[none] https://www.imo-official.org/results/individual/country/USS/
Konstantin Yursha,USS,1973,1,B,,,,not found,[none] no usable sources found
Naum Golcman,USS,1973,1,B,,,,not found; searches only surfaced an unrelated physicist Grigory Naumovich Goltsman,[none] https://www.mathnet.ru/rus/person75744
Pavel Grozman,USS,1973,1,G,18 January 1957 -- 7 March 2022,not found,not found,"Pavel Yakovlevich Grozman, worked at Stockholm University/EQUA Simulation AB; specialist in Lie superalgebras and their deformations, co-author with Dimitry Leites of the SuperLie Mathematica package",[high] https://www.mathnet.ru/eng/person21036
Viktor Budaev,USS,1973,1,S,5 January 1956,"Smolensk, RSFSR",not found (was in 10th grade at time of All-Union olympiad),"Graduated MSU Computational Math & Cybernetics (1978); Doctor of Sciences (1993) in differential equations; long-time professor and Dean of Mathematics Faculty at Herzen State Pedagogical University, St. Petersburg; official bio confirms 1973 All-Union olympiad winner and IMO 1973 laureate (2nd place)",[high] http://vmk78.narod.ru/Doctors/budaev.pdf
Alexander Grigorjan,USS,1974,1,G,14 January 1957,"Baku, Azerbaijan SSR",not found (educated at Lomonosov MSU),"Alexander Grigor'yan -- renowned analyst, heat kernels/stochastic analysis on manifolds/graphs/fractals; MSU MSc 1979, PhD 1982; professor at Imperial College London (1994-2005), then Bielefeld (since 2005); Whitehead Prize (LMS 1997), 2019 Humboldt Research Prize",[medium] https://www.math.uni-bielefeld.de/~grigor/
Andrej Brailov,USS,1974,1,S,,,,"Likely A. V. Brailov, co-author with A.T. Fomenko of 1980s papers on topology of integral submanifolds of integrable Hamiltonian systems; suggests MSU mech-math background, identity/birth data unconfirmed",[low-medium] https://www.mathnet.ru/php/getFT.phtml?jrnid=sm&paperid=2764&what=fullteng&option_lang=eng
Dimitri Tjukavkin,USS,1974,1,G,,,,not found,[none] no usable sources found
Igor Ananjevski,USS,1974,1,(no award),16 October 1956,"Zlatoust, Chelyabinsk Oblast, USSR",physics-math boarding school affiliated with Leningrad State University (grades 8-10),"Likely Igor Ananievsky -- mechanics/control-theory specialist; graduated Leningrad State University; since 1984 at Institute for Problems in Mechanics RAS, professor (2001); taught at MIEM and since 2003 at MIPT","[medium] https://ru.wikipedia.org/wiki/Ананьевский,_Игорь_Михайлович"
Igor Sivizki,USS,1974,1,B,,,,"Possible match: I.Ya. Sivitskii, author of a 1985 paper on torsion in Milnor's K-groups for a local field -- identity unconfirmed",[low] https://www.mathnet.ru/rus/person22847
