Genadiy Maloletkin | 1963 | ? | ? | not found (ЮМШ Leningrad, per school-history article, but this refers to a math club, not a school) | not found | none | https://cyberleninka.ru/article/n/ob-istorii-matematicheskih-olimpiad-v-leningrade-sankt-peterburge
Andrei Zubkov | 1965 | December 30, 1946 (d. August 6, 2025) | Moscow | School No. 444, Moscow (graduated 1965) | Probabilist/statistician; headed Dept. of Mathematical Statistics and Random Processes at MSU Mech-Math faculty (2005-2025); headed Discrete Mathematics Dept. at Steklov Institute (MIAN) from 1994; worked on branching processes, limit theorems, combinatorial probability, cryptography. | high | https://ru.wikipedia.org/wiki/Зубков,_Андрей_Михайлович
Anatoliy Pereseckiy | 1965 | 1948 | not found | Physics-math boarding school No. 18 named after A.N. Kolmogorov at MSU, Moscow (graduated 1966) | Economist/econometrician; graduated MSU Mech-Math (1971), Cand. Sci. (1977), Doctor of Sciences in Economics (2010); professor at HSE University, New Economic School (NES), and CEMI RAS; works in mathematical economics, econometrics, finance. | high | https://www.hse.ru/org/persons/42727/ ; http://www.cemi-ras.ru/about/persons/index.php?SECTION_ID=6&ELEMENT_ID=204 ; http://www.vipschool.ru/oneperson.php?personnumber=419
Nicolai Shirokov | 1965 | not found (circumstantial evidence points to ~1948) | not found | not found | Mathematician, Doctor of Sciences (1985, Steklov Institute St. Petersburg branch), specialist in complex/harmonic analysis and approximation theory; professor and long-time head of the Mathematical Analysis Dept. at St. Petersburg State University; also professor at HSE St. Petersburg since 2013. | medium | https://www.hse.ru/org/persons/95632315/ ; https://pureportal.spbu.ru/ru/persons/николай-алексеевич-широков
Aleksander Karzanov | 1965 | March 23, 1947 | Moscow | not found | Mathematician specializing in combinatorial optimization and graph theory; co-inventor of preflow-based max-flow algorithms and co-author of the Hopcroft-Karp-Karzanov bipartite matching algorithm; long-time researcher at the Institute of System Analysis RAS (1977-2018) and CEMI RAS; invited speaker at ICM 1990. | high | https://prabook.com/web/alexander_viktorovich.karzanov/456911 ; http://www.cemi.rssi.ru/about/persons/index.php?SECTION_ID=6&ELEMENT_ID=12309
Vasiliy Stoianovski | 1965 | not found | not found | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Yuri Muraviev | 1965 | not found | not found | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Yuri Bogdanski | 1966 | June 10, 1949 (d. November 21, 2021) | Kyiv | not found | Ukrainian mathematician specializing in functional analysis; graduated Moscow University (1971); Doctor of Sciences (1996), professor (1998) at Kyiv Polytechnic Institute (NTUU "KPI"), Institute for Applied System Analysis, Dept. of Mathematical Methods of System Analysis. | high | https://esu.com.ua/article-35830 ; http://mmsa.kpi.ua/history/lecturers/yuriy-v-bohdanskyy
Sabir Husein-Zade | 1966 | July 29, 1950 | Moscow | not found | Mathematician specializing in singularity theory; PhD 1975 under S. Novikov and V. Arnold; co-author with Arnold and Varchenko of "Singularities of Differentiable Maps"; professor at Moscow State University (Mech-Math) and the Independent University of Moscow; co-editor-in-chief of the Moscow Mathematical Journal. | high | https://en.wikipedia.org/wiki/Sabir_Gusein-Zade ; https://www.mathgenealogy.org/id.php?id=55263
Andrei Marchenko | 1966 | not found | not found | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Mihail Fokin | 1966 | not found | not found | not found | Likely Mikhail Valentinovich Fokin, mathematician, Doctor of Sciences, Dean of the Mechanics-Mathematics Faculty of Novosibirsk State University (since 2011) and deputy director of the Sobolev Institute of Mathematics SB RAS; per one alumnus's memoir he taught mathematics at Novosibirsk's specialized physics-math school (FMSh/SUNC NSU) as a graduate student. Name/generation/location fit but identity as the 1966 IMO medalist is not fully confirmed. | medium | http://mmf-old.nsu.ru/person/fokin ; https://ведомостизаксобрания.рф/2023042001
Grigoriy Rosenblum | 1966 | not found (Facebook profile lists St. Petersburg University Class of 1972, implying birth ~1949) | not found | not found | Mathematician (Grigori Rozenblum), specialist in spectral theory of differential/pseudodifferential operators, magnetic Schrödinger operators, and Toeplitz operators; long career at St. Petersburg institutions and the Euler International Mathematical Institute; later Professor at Chalmers University of Technology and University of Gothenburg, Sweden (now Professor Emeritus). | medium | https://www.mathnet.ru/eng/person23499 ; https://www.chalmers.se/en/persons/grigori/ ; https://www.mathgenealogy.org/id.php?id=171604
Boris Matikainen | 1966 | not found | not found | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Aleksander Zaimskih | 1966 | not found | not found | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Sergei Liber | 1966 | not found | possibly Saratov (per a Saratov olympiad history compilation, a Sergei Liber is listed among Saratov schoolchildren who took part in the 8th IMO in Bulgaria) | not found | not found | low | Саратовские математические олимпиады 1950-51 -- 1994-95 (dokumen.pub search snippet)
Aleksander Livshic | 1967 | not found | not found | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/ (no matching biography despite spelling variants Livshits/Lifshitz/Livshic)
Viktor Turchaninov | 1967 | not found | not found | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Andrei Suslin | 1967 | 27 December 1950 | Leningrad, USSR | not found | Became one of the most prominent Soviet/American algebraists: proved Serre's conjecture (Quillen-Suslin theorem, 1976), the Merkurjev-Suslin theorem (1982), collaborated with Voevodsky on motivic cohomology; professor at Northwestern University from 1994; 2000 Cole Prize in Algebra (AMS); died 10 July 2018 in St. Petersburg. | high | https://ru.wikipedia.org/wiki/Суслин,_Андрей_Александрович ; https://indicator.ru/mathematics/umer-matematik-andrej-suslin-10-07-2018.htm
Mikhail Boshernican | 1967 | 1950 | Chernovtsy (Chernivtsi), Ukrainian SSR | Kolmogorov boarding school in Moscow (internat No. 18, later SUNC MSU), entered at age 15 | Emigrated to Israel early 1970s, then US; became Michael Boshernitzan, professor of mathematics at Rice University (Houston) 1982-2019, specialist in ergodic theory/interval exchange transformations ("Boshernitzan condition"), longtime coach of Rice's Putnam team; died 28 August 2019. | high | https://news2.rice.edu/2019/09/03/rice-mourns-mathematics-professor-michael-boshernitzan/ ; https://www.dignitymemorial.com/obituaries/bellaire-tx/michael-boshernitzan-8838149
Yuri Zharinov | 1967 | not found | not found | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Igor Krichever | 1967 | 8 October 1950 | Kuybyshev (now Samara), USSR (raised in Taganrog from age ~7) | Kolmogorov physics-math boarding school in Moscow (per own account) | Graduated MSU mekhmat 1972; became a leading mathematical physicist -- Krichever construction/genus, Krichever-Novikov equation and algebras, Baker-Akhiezer functions, integrable systems theory; professor and dean (2008-2011) of mathematics at Columbia University, also Skoltech/HSE/Landau Institute; died 1 December 2022. | high | https://ru.wikipedia.org/wiki/Кричевер,_Игорь_Моисеевич
Sergei Sobolev | 1967, 1968 | not found | not found | not found | not found -- explicitly not the famous elder mathematician Sergei L. Sobolev (b. 1908); no distinct younger namesake could be verified | none | https://www.imo-official.org/results/individual/country/USS/ (confirms same person scored 27 to 40, bronze then gold, but no biography located)
Vyacheslav Kharlamov | 1967 | 28 January 1950 | Leningrad, USSR | not found (later taught at school-internat No. 45 in Leningrad from 1968) | Studied at Leningrad State University 1967-1972 under V. A. Rokhlin; became a leading real algebraic geometry researcher (partial solution of Hilbert's 16th problem), professor at Sorbonne/University of Strasbourg since 1991, co-author of textbook "Elementary Topology". | high | https://ru.wikipedia.org/wiki/Харламов,_Вячеслав_Михайлович
Mikhail Blyudze | 1968 | not found | not found | not found | possibly Mikhail Yuryevich Blyudze, listed as a 1974 graduate of the Mathematical Analysis Department of Leningrad/St. Petersburg State University -- unconfirmed match | low | https://analysis.spbu.ru/history/vypuskniki.pdf
Pavel Kurchanov | 1968 | 2 September 1951 | not found | not found | Graduated MSU mekhmat 1973, PhD 1977, docent 1981; taught mathematics at Moscow Institute of Railway Engineers (MIIT) 1976-1991; moved into finance/banking in the 1990s (RINAKO Depository, ONEXIM Bank, Interros, NIKoil); later headed foreign investment department of Russian Railways (RZhD) 2006-2014. | medium | https://wiki.letopis.ru/index.php?title=Курчанов_Павел_Фёдорович
Vladimir Ponomarenko | 1968 | not found | not found | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Valeriy Fedotov | 1968 | not found | not found | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Viktor Kumarin | 1968 | not found | not found | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Vladimir Makarichev | 1968 | not found | not found | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Genadiy Beli | 1968 | 2 February 1951 | Magnitogorsk, Chelyabinsk Oblast, RSFSR, USSR | physics-math boarding school in Kyiv (graduated 1968) | Plausibly Gennady Vladimirovich Belyi, celebrated for Belyi's theorem (1979), foundational to Grothendieck's dessins d'enfants theory; PhD 1978 Steklov Institute under Igor Shafarevich; docent at Vladimir State University; invited speaker ICM Berkeley 1986; died 29 January 2001. Match based on plausible transliteration (Beli = Белый) and timeline, not explicitly confirmed. | medium | https://ru.wikipedia.org/wiki/Белый,_Геннадий_Владимирович
Vladimir Drinfeld | 1969 | 14 Feb 1954 (some sources say 4 Feb 1954) | Kharkiv, USSR | not found | Fields Medalist (1990), Wolf Prize (2018), Shaw Prize (2023); professor at University of Chicago; founder of theory of quantum groups, geometric Langlands program | high | https://ru.wikipedia.org/wiki/Дринфельд,_Владимир_Гершонович
Andrei Prasolov | 1969 | 11 Aug 1952 | Sarapul, Udmurtia, Russian SFSR | not found | Mathematician (K-theory, homological algebra, topology); PhD MSU 1978; since early 1990s professor at UiT The Arctic University of Norway, Tromso | medium | https://prabook.com/web/andrei_vasilievich.prasolov/3488365 ; https://en.uit.no/ansatte/andrei.prasolov
Andrei Hodulev | 1969, 1970 | 7 Oct 1953 | Kalinin (now Tver), USSR | Физико-математическая школа-интернат при МГУ им. А.Н. Колмогорова (Kolmogorov boarding school, entered 1968) | Graduated MSU mech-math 1975 with honors, PhD 1984; researcher at Keldysh Institute of Applied Mathematics; pioneer of physically-accurate computer graphics/Monte Carlo ray tracing in the USSR (deceased per memorial page) | high | https://keldysh.ru/memory/khodulev/first_steps.htm
Andrei Zelevinski | 1969 | 30 Jan 1953 | Moscow, USSR | Moscow Mathematical School No. 2 | Major mathematician (representation theory, combinatorics -- Bernstein-Zelevinsky classification, cluster algebras with S. Fomin); professor at Northeastern University (Boston) 1991 until death in 2013; AMS Fellow, Steele Prize (posthumous, 2018) | high | https://en.wikipedia.org/wiki/Andrei_Zelevinsky
Elena Neklyudova | 1969 | not found | not found | not found | not found | none | no reliable matching source found
Valeriy Soloviev | 1969 | not found | not found | not found | not found | none | no reliable matching source found
Arkadiy Klimov | 1969, 1970 | not found | not found | not found | Likely computer scientist Аркадий Владимирович Климов, senior researcher at IPPM RAS, one of the principal developers of the Refal compiler (with V. Turchin and S. Romanenko, work begun 1969, completed 1975) and later author of Refal-6/Refal-6-Java dialects | low-medium | https://pat.keldysh.ru/~roman/refal/rfc-history/
Pavel Suvorov | 1969 | not found | not found | not found | not found | none | no matching source found
Aleksei Aleksandrov | 1970, 1971 | not found | not found | not found | not found | none | common surname; no matching mathematician biography found
Sergei Semenkov | 1970 | not found | not found | not found | not found | none | no matching source found
Velo Altlies | 1970 | not found | not found | not found | not found | none | name may be a mistransliteration in IMO records, could not verify
Aleksander Korlyukov | 1970 | not found | not found | not found | not found | none | no matching source found (a modern chemist of the same surname exists but timeline/field do not match)
